run_date,platform,backend,input_bits,circuit_length,shots,counts_json,success_probability,job_id,job_start_time,job_end_time,sdk_version,notes
2025-11-08,rigetti,Ankaa-3,10,1,1,"{""11"": 1}",1.0,arn:aws:braket:us-west-1:835581428919:quantum-task/84a5a9de-2a10-4b5c-b064-5cb0765a4362,2025-11-08T00:55:49.273Z,2025-11-08T00:55:50.012Z,,
2025-11-08,rigetti,Ankaa-3,11,3,1,"{""11"": 1}",1.0,arn:aws:braket:us-west-1:835581428919:quantum-task/84b752f1-c352-49fe-877c-978a60adc6eb,2025-11-08T01:03:39.899Z,2025-11-08T01:03:40.694Z,,
2025-11-08,rigetti,Ankaa-3,01,6,1,"{""01"": 1}",1.0,arn:aws:braket:us-west-1:835581428919:quantum-task/84fb6008-e6d0-4a85-9722-29210b17431c,2025-11-08T01:03:30.286Z,2025-11-08T01:03:30.851Z,,
2025-11-08,rigetti,Ankaa-3,00,5,1,"{""00"": 1}",1.0,arn:aws:braket:us-west-1:835581428919:quantum-task/85897fab-e677-4060-b317-594089cb49c4,2025-11-08T00:56:01.693Z,2025-11-08T00:56:02.372Z,,
2025-11-08,rigetti,Ankaa-3,00,6,1,"{""00"": 1}",1.0,arn:aws:braket:us-west-1:835581428919:quantum-task/85990c62-c124-430c-a2c9-1fb765ffb8b5,2025-11-08T00:55:54.628Z,2025-11-08T00:55:55.222Z,,
2025-11-08,rigetti,Ankaa-3,11,5,1,"{""01"": 1}",1.0,arn:aws:braket:us-west-1:835581428919:quantum-task/86ee7568-c127-4e6e-b7ea-b0923706b761,2025-11-08T00:55:50.554Z,2025-11-08T00:55:51.517Z,,
2025-11-08,rigetti,Ankaa-3,00,3,1,"{""00"": 1}",1.0,arn:aws:braket:us-west-1:835581428919:quantum-task/87042548-e055-4f64-b599-ab7626846f8c,2025-11-08T00:56:04.373Z,2025-11-08T00:56:04.994Z,,
2025-11-08,rigetti,Ankaa-3,00,3,1,"{""00"": 1}",1.0,arn:aws:braket:us-west-1:835581428919:quantum-task/888a6acc-9ff2-4163-8c16-0968d97b1b47,2025-11-08T00:55:42.170Z,2025-11-08T00:55:43.278Z,,
2025-11-08,rigetti,Ankaa-3,01,3,1,"{""10"": 1}",1.0,arn:aws:braket:us-west-1:835581428919:quantum-task/89b4aa07-c259-4c8c-bb8e-fa20d7d48135,2025-11-08T01:03:40.747Z,2025-11-08T01:03:41.324Z,,
2025-11-08,rigetti,Ankaa-3,10,5,1,"{""10"": 1}",1.0,arn:aws:braket:us-west-1:835581428919:quantum-task/8b896883-48a2-49cb-953d-b867596c1935,2025-11-08T00:55:52.831Z,2025-11-08T00:55:53.442Z,,
2025-11-08,rigetti,Ankaa-3,00,1,1,"{""00"": 1}",1.0,arn:aws:braket:us-west-1:835581428919:quantum-task/8c1e24f5-b058-4a37-a1d5-48b4b8277270,2025-11-08T01:03:45.880Z,2025-11-08T01:03:46.499Z,,
2025-11-08,rigetti,Ankaa-3,01,6,1,"{""01"": 1}",1.0,arn:aws:braket:us-west-1:835581428919:quantum-task/8d39980d-a0ab-490f-8677-8d0a32fc1582,2025-11-08T00:56:04.177Z,2025-11-08T00:56:04.820Z,,
2025-11-08,rigetti,Ankaa-3,01,2,1,"{""11"": 1}",1.0,arn:aws:braket:us-west-1:835581428919:quantum-task/8dbb6313-973e-4c55-8296-1699355f1f85,2025-11-08T00:55:42.575Z,2025-11-08T00:55:43.159Z,,
2025-11-08,rigetti,Ankaa-3,10,5,1,"{""10"": 1}",1.0,arn:aws:braket:us-west-1:835581428919:quantum-task/8e6a4810-14c8-4fea-ac93-ba262b4747e1,2025-11-08T00:55:41.972Z,2025-11-08T00:55:43.134Z,,
2025-11-08,rigetti,Ankaa-3,01,5,1,"{""11"": 1}",1.0,arn:aws:braket:us-west-1:835581428919:quantum-task/8eecb01d-2e71-4214-a6a5-b2e9e3abd5de,2025-11-08T00:56:01.010Z,2025-11-08T00:56:02.247Z,,
2025-11-08,rigetti,Ankaa-3,11,2,1,"{""10"": 1}",1.0,arn:aws:braket:us-west-1:835581428919:quantum-task/91c0de27-b6b9-41ed-bd18-8edbd7ea4b5a,2025-11-08T01:03:26.872Z,2025-11-08T01:03:27.443Z,,
2025-11-08,rigetti,Ankaa-3,10,1,1,"{""11"": 1}",1.0,arn:aws:braket:us-west-1:835581428919:quantum-task/956c4b05-3350-47fb-ae27-95786e6abb86,2025-11-08T01:03:41.799Z,2025-11-08T01:03:42.423Z,,
2025-11-08,rigetti,Ankaa-3,01,3,1,"{""10"": 1}",1.0,arn:aws:braket:us-west-1:835581428919:quantum-task/97b915cb-6590-46fd-a1af-15246dc3c369,2025-11-08T01:03:23.444Z,2025-11-08T01:03:24.761Z,,
2025-11-08,rigetti,Ankaa-3,01,5,1,"{""11"": 1}",1.0,arn:aws:braket:us-west-1:835581428919:quantum-task/98122e9a-184c-4d2d-8bb3-45a6582e1a09,2025-11-08T01:03:29.279Z,2025-11-08T01:03:29.876Z,,
2025-11-08,rigetti,Ankaa-3,00,5,1,"{""00"": 1}",1.0,arn:aws:braket:us-west-1:835581428919:quantum-task/98e4c5ba-f035-4a6e-ba16-50b503f01b7e,2025-11-08T01:03:29.652Z,2025-11-08T01:03:30.247Z,,
2025-11-08,rigetti,Ankaa-3,11,2,1,"{""10"": 1}",1.0,arn:aws:braket:us-west-1:835581428919:quantum-task/9a4ee688-b07a-44d4-b61e-e52a29553ec6,2025-11-08T01:03:25.575Z,2025-11-08T01:03:26.118Z,,
2025-11-08,rigetti,Ankaa-3,01,4,1,"{""10"": 1}",1.0,arn:aws:braket:us-west-1:835581428919:quantum-task/9b15b96d-a8b1-491c-a1b3-ed65c86a85dc,2025-11-08T00:55:59.404Z,2025-11-08T00:56:00.604Z,,
2025-11-08,rigetti,Ankaa-3,11,4,1,"{""01"": 1}",1.0,arn:aws:braket:us-west-1:835581428919:quantum-task/9b7007b3-4186-4041-92fb-8f89328b9fdc,2025-11-08T00:55:41.324Z,2025-11-08T00:55:42.572Z,,
2025-11-08,rigetti,Ankaa-3,11,5,1,"{""01"": 1}",1.0,arn:aws:braket:us-west-1:835581428919:quantum-task/9c19cace-8dec-479b-a937-19eeffd86959,2025-11-08T00:55:50.349Z,2025-11-08T00:55:51.651Z,,
2025-11-08,rigetti,Ankaa-3,10,4,1,"{""11"": 1}",1.0,arn:aws:braket:us-west-1:835581428919:quantum-task/9da1f505-358c-4a59-bfb1-b10d6484ccf0,2025-11-08T01:03:29.865Z,2025-11-08T01:03:30.452Z,,
