run_date,platform,backend,input_bits,circuit_length,shots,counts_json,success_probability,job_id,job_start_time,job_end_time,qpu_execution_sec,sdk_version,notes
2024-02-16,ionq,Harmony,11,3,1000,"{""00"": 13, ""10"": 12, ""01"": 23, ""11"": 952}",0.952,arn:aws:braket:us-east-1:835581428919:quantum-task/c3e116fd-2dfa-43aa-89b5-87e37b5c1539,2024-02-16T19:59:36.499Z,2024-04-11T23:43:20.737Z,,,
2024-02-16,ionq,Harmony,10,6,1000,"{""00"": 25, ""10"": 928, ""01"": 35, ""11"": 12}",0.928,arn:aws:braket:us-east-1:835581428919:quantum-task/c3f3f094-3651-42e6-a7d1-5de33160ccc4,2024-02-16T19:32:58.373Z,2024-04-05T15:09:33.902Z,,,
2024-02-16,ionq,Harmony,11,2,1000,"{""00"": 33, ""10"": 953, ""01"": 11, ""11"": 3}",0.953,arn:aws:braket:us-east-1:835581428919:quantum-task/c41a106b-a1cd-43d8-a7ee-e642e37edd6a,2024-02-16T19:59:12.782Z,2024-04-11T20:17:36.503Z,,,
2024-02-16,ionq,Harmony,11,6,1000,"{""00"": 33, ""10"": 35, ""01"": 35, ""11"": 897}",0.897,arn:aws:braket:us-east-1:835581428919:quantum-task/c4237cda-257d-4078-beec-80773c41fa60,2024-02-16T19:33:03.382Z,2024-04-05T15:13:38.318Z,,,
2024-02-16,ionq,Harmony,10,5,1000,"{""00"": 23, ""10"": 907, ""01"": 20, ""11"": 50}",0.907,arn:aws:braket:us-east-1:835581428919:quantum-task/c43e1b05-1edc-413e-b9ab-8cd76b04c823,2024-02-16T19:58:51.148Z,2024-04-11T17:11:31.141Z,,,
2024-02-16,ionq,Harmony,00,1,1000,"{""00"": 966, ""10"": 5, ""01"": 28, ""11"": 1}",0.966,arn:aws:braket:us-east-1:835581428919:quantum-task/c44f817b-2b52-4e39-a512-0a5e3f0feb72,2024-02-16T19:34:10.247Z,2024-04-05T22:40:46.985Z,,,
2024-02-16,ionq,Harmony,01,2,1000,"{""00"": 8, ""10"": 14, ""01"": 16, ""11"": 962}",0.962,arn:aws:braket:us-east-1:835581428919:quantum-task/c47af7bf-498d-4844-bb94-9c516fb08dda,2024-02-16T19:32:44.717Z,2024-04-05T14:13:22.211Z,,,
2024-02-16,ionq,Harmony,01,5,1000,"{""00"": 51, ""10"": 55, ""01"": 27, ""11"": 867}",0.867,arn:aws:braket:us-east-1:835581428919:quantum-task/c4981173-d034-454e-942d-f8139c3b9474,2024-02-16T19:34:12.876Z,2024-04-05T22:42:46.449Z,,,
2024-02-16,ionq,Harmony,00,4,1000,"{""00"": 960, ""10"": 19, ""01"": 10, ""11"": 11}",0.96,arn:aws:braket:us-east-1:835581428919:quantum-task/c4b587a8-9949-4656-87e0-ad3c8e54f175,2024-02-16T18:55:21.060Z,2024-04-04T07:39:22.516Z,,,
2024-02-16,ionq,Harmony,00,5,1000,"{""00"": 957, ""10"": 10, ""01"": 21, ""11"": 12}",0.957,arn:aws:braket:us-east-1:835581428919:quantum-task/c4be8aa9-7dbb-4968-8796-781ea12e4cb1,2024-02-16T19:56:38.938Z,2024-04-09T19:54:35.314Z,,,
2024-02-16,ionq,Harmony,00,2,1000,"{""00"": 961, ""10"": 27, ""01"": 6, ""11"": 6}",0.961,arn:aws:braket:us-east-1:835581428919:quantum-task/c4f328af-5fad-4be9-9dc7-dbf4407a33b4,2024-02-16T19:59:21.226Z,2024-04-11T22:11:36.242Z,,,
2024-02-16,ionq,Harmony,10,6,1000,"{""00"": 34, ""10"": 886, ""01"": 62, ""11"": 18}",0.886,arn:aws:braket:us-east-1:835581428919:quantum-task/c52bf963-6fbe-4d20-b48f-8637147de52c,2024-02-16T19:36:02.622Z,2024-04-08T07:04:45.479Z,,,
2024-02-16,ionq,Harmony,01,3,1000,"{""00"": 12, ""10"": 970, ""01"": 10, ""11"": 8}",0.97,arn:aws:braket:us-east-1:835581428919:quantum-task/c53f8f54-4495-4fda-a5e6-8e071de2fffc,2024-02-16T19:35:06.230Z,2024-04-06T11:33:40.248Z,,,
2024-02-16,ionq,Harmony,10,2,1000,"{""00"": 9, ""10"": 11, ""01"": 968, ""11"": 12}",0.968,arn:aws:braket:us-east-1:835581428919:quantum-task/c564a7bc-849b-4ba2-9e7c-37fb09b3396f,2024-02-16T18:55:41.326Z,2024-04-04T09:09:02.245Z,,,
2024-02-16,ionq,Harmony,01,5,1000,"{""00"": 21, ""10"": 38, ""01"": 10, ""11"": 931}",0.931,arn:aws:braket:us-east-1:835581428919:quantum-task/c5703fbe-5f72-433c-a021-969c79d5d074,2024-02-16T18:55:48.839Z,2024-04-04T09:20:11.757Z,,,
2024-02-16,ionq,Harmony,00,2,1000,"{""00"": 958, ""10"": 23, ""01"": 5, ""11"": 14}",0.958,arn:aws:braket:us-east-1:835581428919:quantum-task/c5a5b306-5e7e-4794-8181-75d36e10b6b5,2024-02-16T19:34:18.099Z,2024-04-05T23:59:03.037Z,,,
2024-02-16,ionq,Harmony,01,1,1000,"{""00"": 18, ""10"": 2, ""01"": 978, ""11"": 2}",0.978,arn:aws:braket:us-east-1:835581428919:quantum-task/c5d7a683-8d23-459c-b4ac-a11afe3ae606,2024-02-16T18:56:29.881Z,2024-04-04T15:21:47.282Z,,,
2024-02-16,ionq,Harmony,10,4,1000,"{""00"": 13, ""10"": 13, ""01"": 77, ""11"": 897}",0.897,arn:aws:braket:us-east-1:835581428919:quantum-task/c5d954b9-5bfb-4a9a-8466-8d13aed1e40c,2024-02-16T18:55:11.268Z,2024-04-04T07:27:15.664Z,,,
2024-02-16,ionq,Harmony,11,2,1000,"{""00"": 21, ""10"": 967, ""01"": 7, ""11"": 5}",0.967,arn:aws:braket:us-east-1:835581428919:quantum-task/c5e661ea-1e16-4b8c-8813-2971624fa1a2,2024-02-16T19:33:06.071Z,2024-04-05T15:15:06.848Z,,,
